s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 1.0134331E+002, 2.1728829E+001,-8.9754588E+000,-2.4209167E-003,-1.2354382E+001,-2.3946073E-003, 2.3115997E-001, 0.0000000E+000, 6.1973091E-001, 6.2533263E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6426761E+004
 1.0267303E+002, 2.1735375E+001,-9.0083189E+000,-2.4193487E-003,-1.2260704E+001,-2.3941790E-003, 2.5770054E-001, 0.0000000E+000, 7.1865419E-001, 7.1923957E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6463255E+004
 1.0400310E+002, 2.1720490E+001,-9.0367788E+000,-2.4036540E-003,-1.2302060E+001,-2.4111784E-003, 2.2929735E-001, 0.0000000E+000, 6.0918691E-001, 6.0613422E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6495849E+004
 1.0533680E+002, 2.1680018E+001,-9.0501423E+000,-2.4152911E-003,-1.2197205E+001,-2.3985898E-003, 2.4511104E-001, 0.0000000E+000, 6.6565379E-001, 6.7296771E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6530594E+004
 1.0666769E+002, 2.1667916E+001,-9.0594073E+000,-2.4130943E-003,-1.2118917E+001,-2.4009258E-003, 2.6894233E-001, 0.0000000E+000, 7.5369027E-001, 7.5371987E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6568771E+004
 1.0800706E+002, 2.1733064E+001,-9.1467664E+000,-2.4163372E-003,-1.2175058E+001,-2.3987434E-003, 2.2811890E-001, 0.0000000E+000, 6.3481673E-001, 6.3454317E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6601413E+004
 1.0934121E+002, 2.1706939E+001,-9.1505604E+000,-2.4247229E-003,-1.2373336E+001,-2.3897897E-003, 1.4507027E-001, 0.0000000E+000, 3.2001420E-001, 3.2329848E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6622027E+004
 1.1067484E+002, 2.1737023E+001,-9.1953287E+000,-2.4231370E-003,-1.2541992E+001,-2.3907096E-003, 7.5641919E-002, 0.0000000E+000, 6.5198603E-002, 7.0530586E-002, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6632675E+004
 1.1200245E+002, 2.1770781E+001,-9.2000595E+000,-2.4106723E-003,-1.2682393E+001,-2.4060212E-003, 3.4636669E-002, 0.0000000E+000,-8.1530640E-002,-8.1851673E-002, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6637724E+004
 1.1334505E+002, 2.1638070E+001,-9.2067157E+000,-2.4221322E-003,-1.2677681E+001,-2.3921479E-003,-1.4135181E-002, 0.0000000E+000,-2.6686192E-001,-2.6527573E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6635771E+004
 1.1467744E+002, 2.1675415E+001,-9.2050979E+000,-2.4113570E-003,-1.2486773E+001,-2.4021128E-003, 6.9030263E-002, 0.0000000E+000, 4.4962713E-002, 4.7760527E-002, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6645453E+004
 1.1600774E+002, 2.1738408E+001,-9.2314439E+000,-2.4052232E-003,-1.2389017E+001,-2.4090259E-003, 1.1682287E-001, 0.0000000E+000, 2.2654002E-001, 2.2995611E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6661916E+004
 1.1734541E+002, 2.1717892E+001,-9.2510131E+000,-2.4116712E-003,-1.3038837E+001,-2.4030590E-003,-1.3806238E-001, 0.0000000E+000,-7.0891709E-001,-7.1483447E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6642476E+004
 1.1867194E+002, 2.1727490E+001,-9.2807802E+000,-2.4230380E-003,-1.2861155E+001,-2.3920170E-003,-8.6891922E-002, 0.0000000E+000,-5.1101266E-001,-5.0615203E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6630188E+004
 1.2000000E+002, 2.1729922E+001,-9.2741330E+000,-2.4220788E-003,-1.2813969E+001,-2.3931171E-003,-7.5278660E-002, 0.0000000E+000,-4.4825366E-001,-4.3827409E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6619370E+004
